ID_UF;ID;cas2008;cas2009;cas2010;cas2011;cas2012;cas2013;cas2014;cas2015;cas2016;cas2017;cas2018;pop2008;pop2009;pop2010;pop2011;pop2012;pop2013;pop2014;pop2015;pop2016;pop2017;pop2018;tx2008;tx2009;tx2010;tx2011;tx2012;tx2013;tx2014;tx2015;tx2016;tx2017;tx2018;Ano1;Ano2;Ano3 ;Ano4;Ano5;Ano6;Ano7;Ano8;Ano9;Ano10;Ano11;tx2008na
24;24018;250;291;294;354;439;519;575;512;650;680;556;999357;1013176;1030774;1044159;1057113;1110019;1125134;1139863;1154218;1168220;1161655;0,2502;0,2872;0,285223;0,339029;0,415282;0,46756;0,51105;0,449177;0,563152;0,582082;0,478627;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;0,25161
35;35007;2;0;0;0;0;1;0;3;2;0;0;64063;64535;65346;65835;66314;69070;69637;70192;70730;71258;71925;0,0312;NA;NA;NA;NA;0,014478;NA;0,04274;0,028277;NA;NA;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;0,31219
14;14002;3;1;2;1;2;1;3;4;8;4;7;37387;38129;41802;43109;44023;45799;46668;47524;48362;49185;51495;0,0802;0,0262;0,047845;0,023197;0,045431;0,021835;0,064284;0,084168;0,165419;0,081326;0,135936;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;0,8242
51;51009;15;5;12;16;12;15;10;18;15;15;11;107598;109553;112106;114135;115959;119054;121056;123004;124904;126751;130472;0,1394;0,0456;0,107042;0,140185;0,103485;0,125993;0,082606;0,146337;0,120092;0,118342;0,084309;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;0,13948
28;28003;11;15;4;5;5;16;24;24;16;21;29;63138;63616;62963;63335;63706;65884;66315;66734;67143;67544;67068;0,1742;0,2358;0,063529;0,078945;0,078486;0,242851;0,361909;0,359637;0,238297;0,310908;0,432397;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;0,174222
50;50008;12;7;11;15;4;8;8;2;3;6;4;86969;88259;88368;89503;90595;93741;95032;96290;97531;98759;100115;0,1380;0,0793;0,124479;0,167592;0,044153;0,085342;0,084182;0,020771;0,030759;0,060754;0,039954;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;0,13798
33;33007;49;39;23;15;20;15;13;14;18;8;24;230584;231406;233267;234219;235159;236231;236781;237312;237824;238307;244384;0,2125;0,1685;0,098599;0,064043;0,085049;0,063497;0,054903;0,058994;0,075686;0,03357;0,098206;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;0,21254
32;32002;15;12;15;15;14;19;17;33;21;37;20;122140;122754;124097;124805;125475;133896;134971;136030;137061;138067;135034;0,1228;0,0978;0,120873;0,120187;0,111576;0,141901;0,125953;0,242594;0,153216;0,267986;0,148111;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;0,12281
35;35008;1;0;0;0;2;0;0;1;0;0;0;77950;78499;79252;79784;80324;83614;84260;84885;85498;86097;86819;0,0128;NA;NA;NA;0,024899;NA;NA;0,011781;NA;NA;NA;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;0,12829
15;15001;3;1;3;1;4;5;7;2;10;11;7;175802;178231;184473;186928;189429;193769;196298;198751;201119;203396;206970;0,0171;0,0056;0,016263;0,00535;0,021116;0,025804;0,03566;0,010063;0,049722;0,054082;0,033821;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;0,1765
16;16001;5;7;3;2;2;4;1;3;3;5;3;29286;30253;29390;30270;31004;32779;33607;34426;35237;36039;37553;0,1707;0,2314;0,102076;0,066072;0,064508;0,122029;0,029756;0,087143;0,085138;0,138739;0,079887;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;0,1773
31;31046;2;0;3;1;1;3;5;8;10;16;5;127400;128104;125997;126488;126972;131332;131912;132470;132998;133502;132194;0,0157;NA;0,02381;0,007906;0,007876;0,022843;0,037904;0,060391;0,075189;0,119848;0,037823;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;0,15699
35;35057;285;272;180;235;256;189;172;216;153;191;151;1867199;1893233;1775058;1788447;1801601;1876915;1892513;1907674;1922496;1936983;1955359;0,1526;0,1437;0,101405;0,131399;0,142096;0,100697;0,090884;0,113227;0,079584;0,098607;0,077224;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;0,152635
43;43027;32;50;34;42;52;68;60;87;119;134;105;338697;343829;341206;345379;349487;363729;367376;370810;374061;377135;392026;0,0945;0,1454;0,099647;0,121606;0,14879;0,186952;0,16332;0,234622;0,31813;0,35531;0,267839;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;0,9448
35;35040;10;6;4;6;7;1;5;3;5;8;5;291864;293781;290053;291403;292830;304102;305865;307576;309251;310888;312419;0,0343;0,0204;0,013791;0,02059;0,023905;0,003288;0,016347;0,009754;0,016168;0,025733;0,016004;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;0,34263
31;31033;8;6;9;11;9;10;12;20;16;32;13;170614;172082;173738;175253;176658;183537;185065;186529;187922;189245;189231;0,0469;0,0349;0,051802;0,062766;0,050946;0,054485;0,064842;0,107222;0,085142;0,169093;0,068699;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;0,46889
23;23017;16;26;30;29;66;79;101;70;81;173;152;110769;114051;117000;120032;122939;127094;129680;132165;134550;136839;137307;0,1444;0,2280;0,25641;0,241602;0,536852;0,621587;0,77884;0,529641;0,602007;1,264259;1,107008;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;0,144445
26;26003;38;35;48;29;26;22;43;43;62;58;36;321308;323469;314642;315928;317197;325564;326876;328145;329371;330558;331416;0,1183;0,1082;0,152554;0,091793;0,081968;0,067575;0,131548;0,13104;0,188238;0,175461;0,108625;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;0,118267
27;27005;37;32;64;79;60;66;72;65;53;56;47;179429;179616;175213;175031;175361;181875;181915;181933;181950;181966;179339;0,2062;0,1782;0,36527;0,451349;0,342151;0,362887;0,395789;0,357274;0,291289;0,30775;0,262074;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;0,2621
